Array IDX,Name,Card 1,Card 2,Shape,Hand,Rank
1021,Kd9c,Kd,9c,Offsuit,K9o,81
1022,Kd9d,Kd,9d,Suited,K9s,22
1023,Kd9h,Kd,9h,Offsuit,K9o,81
1024,Kd9s,Kd,9s,Offsuit,K9o,81
1025,KdTc,Kd,Tc,Offsuit,KTo,45
1026,KdTd,Kd,Td,Suited,KTs,14
1027,KdTh,Kd,Th,Offsuit,KTo,45
1028,KdTs,Kd,Ts,Offsuit,KTo,45
1029,KdJc,Kd,Jc,Offsuit,KJo,31
1030,KdJd,Kd,Jd,Suited,KJs,9
1031,KdJh,Kd,Jh,Offsuit,KJo,31
1032,KdJs,Kd,Js,Offsuit,KJo,31
1033,KdQc,Kd,Qc,Offsuit,KQo,20
1034,KdQd,Kd,Qd,Suited,KQs,7
1035,KdQh,Kd,Qh,Offsuit,KQo,20
1036,KdQs,Kd,Qs,Offsuit,KQo,20
1037,KhKd,Kd,Kh,Pair,KK,2
1038,KsKd,Kd,Ks,Pair,KK,2
1039,Kh2c,Kh,2c,Offsuit,K2o,135
1040,Kh2d,Kh,2d,Offsuit,K2o,135
1041,Kh2h,Kh,2h,Suited,K2s,60
1042,Kh2s,Kh,2s,Offsuit,K2o,135
1043,Kh3c,Kh,3c,Offsuit,K3o,133
1044,Kh3d,Kh,3d,Offsuit,K3o,133
1045,Kh3h,Kh,3h,Suited,K3s,59
1046,Kh3s,Kh,3s,Offsuit,K3o,133
1047,Kh4c,Kh,4c,Offsuit,K4o,132
1048,Kh4d,Kh,4d,Offsuit,K4o,132
1049,Kh4h,Kh,4h,Suited,K4s,58
1050,Kh4s,Kh,4s,Offsuit,K4o,132
1051,Kh5c,Kh,5c,Offsuit,K5o,128
1052,Kh5d,Kh,5d,Offsuit,K5o,128
1053,Kh5h,Kh,5h,Suited,K5s,55
1054,Kh5s,Kh,5s,Offsuit,K5o,128
1055,Kh6c,Kh,6c,Offsuit,K6o,125
1056,Kh6d,Kh,6d,Offsuit,K6o,125
1057,Kh6h,Kh,6h,Suited,K6s,53
1058,Kh6s,Kh,6s,Offsuit,K6o,125
1059,Kh7c,Kh,7c,Offsuit,K7o,122
1060,Kh7d,Kh,7d,Offsuit,K7o,122
1061,Kh7h,Kh,7h,Suited,K7s,44
1062,Kh7s,Kh,7s,Offsuit,K7o,122
1063,Kh8c,Kh,8c,Offsuit,K8o,112
1064,Kh8d,Kh,8d,Offsuit,K8o,112
1065,Kh8h,Kh,8h,Suited,K8s,37
1066,Kh8s,Kh,8s,Offsuit,K8o,112
1067,Kh9c,Kh,9c,Offsuit,K9o,81
1068,Kh9d,Kh,9d,Offsuit,K9o,81
1069,Kh9h,Kh,9h,Suited,K9s,22
1070,Kh9s,Kh,9s,Offsuit,K9o,81
1071,KhTc,Kh,Tc,Offsuit,KTo,45
1072,KhTd,Kh,Td,Offsuit,KTo,45
1073,KhTh,Kh,Th,Suited,KTs,14
1074,KhTs,Kh,Ts,Offsuit,KTo,45
1075,KhJc,Kh,Jc,Offsuit,KJo,31
1076,KhJd,Kh,Jd,Offsuit,KJo,31
1077,KhJh,Kh,Jh,Suited,KJs,9
1078,KhJs,Kh,Js,Offsuit,KJo,31
1079,KhQc,Kh,Qc,Offsuit,KQo,20
1080,KhQd,Kh,Qd,Offsuit,KQo,20
1081,KhQh,Kh,Qh,Suited,KQs,7
1082,KhQs,Kh,Qs,Offsuit,KQo,20
1083,KsKh,Kh,Ks,Pair,KK,2
1084,Ks2c,Ks,2c,Offsuit,K2o,135
1085,Ks2d,Ks,2d,Offsuit,K2o,135
1086,Ks2h,Ks,2h,Offsuit,K2o,135
1087,Ks2s,Ks,2s,Suited,K2s,60
1088,Ks3c,Ks,3c,Offsuit,K3o,133
1089,Ks3d,Ks,3d,Offsuit,K3o,133
1090,Ks3h,Ks,3h,Offsuit,K3o,133
1091,Ks3s,Ks,3s,Suited,K3s,59
1092,Ks4c,Ks,4c,Offsuit,K4o,132
1093,Ks4d,Ks,4d,Offsuit,K4o,132
1094,Ks4h,Ks,4h,Offsuit,K4o,132
1095,Ks4s,Ks,4s,Suited,K4s,58
1096,Ks5c,Ks,5c,Offsuit,K5o,128
1097,Ks5d,Ks,5d,Offsuit,K5o,128
1098,Ks5h,Ks,5h,Offsuit,K5o,128
1099,Ks5s,Ks,5s,Suited,K5s,55
1100,Ks6c,Ks,6c,Offsuit,K6o,125
1101,Ks6d,Ks,6d,Offsuit,K6o,125
1102,Ks6h,Ks,6h,Offsuit,K6o,125
1103,Ks6s,Ks,6s,Suited,K6s,53
1104,Ks7c,Ks,7c,Offsuit,K7o,122
1105,Ks7d,Ks,7d,Offsuit,K7o,122
1106,Ks7h,Ks,7h,Offsuit,K7o,122
1107,Ks7s,Ks,7s,Suited,K7s,44
1108,Ks8c,Ks,8c,Offsuit,K8o,112
1109,Ks8d,Ks,8d,Offsuit,K8o,112
1110,Ks8h,Ks,8h,Offsuit,K8o,112
1111,Ks8s,Ks,8s,Suited,K8s,37
1112,Ks9c,Ks,9c,Offsuit,K9o,81
1113,Ks9d,Ks,9d,Offsuit,K9o,81
1114,Ks9h,Ks,9h,Offsuit,K9o,81
1115,Ks9s,Ks,9s,Suited,K9s,22
1116,KsTc,Ks,Tc,Offsuit,KTo,45
1117,KsTd,Ks,Td,Offsuit,KTo,45
1118,KsTh,Ks,Th,Offsuit,KTo,45
1119,KsTs,Ks,Ts,Suited,KTs,14
1120,KsJc,Ks,Jc,Offsuit,KJo,31
1121,KsJd,Ks,Jd,Offsuit,KJo,31
1122,KsJh,Ks,Jh,Offsuit,KJo,31
1123,KsJs,Ks,Js,Suited,KJs,9
1124,KsQc,Ks,Qc,Offsuit,KQo,20
1125,KsQd,Ks,Qd,Offsuit,KQo,20
1126,KsQh,Ks,Qh,Offsuit,KQo,20
1127,KsQs,Ks,Qs,Suited,KQs,7
1128,Ac2c,Ac,2c,Suited,A2s,39
1129,Ac2d,Ac,2d,Offsuit,A2o,117
1130,Ac2h,Ac,2h,Offsuit,A2o,117
1131,Ac2s,Ac,2s,Offsuit,A2o,117
1132,Ac3c,Ac,3c,Suited,A3s,33
1133,Ac3d,Ac,3d,Offsuit,A3o,109
1134,Ac3h,Ac,3h,Offsuit,A3o,109
1135,Ac3s,Ac,3s,Offsuit,A3o,109
1136,Ac4c,Ac,4c,Suited,A4s,32
1137,Ac4d,Ac,4d,Offsuit,A4o,104
1138,Ac4h,Ac,4h,Offsuit,A4o,104
1139,Ac4s,Ac,4s,Offsuit,A4o,104
1140,Ac5c,Ac,5c,Suited,A5s,28
1141,Ac5d,Ac,5d,Offsuit,A5o,101
1142,Ac5h,Ac,5h,Offsuit,A5o,101
1143,Ac5s,Ac,5s,Offsuit,A5o,101
1144,Ac6c,Ac,6c,Suited,A6s,34
1145,Ac6d,Ac,6d,Offsuit,A6o,113
1146,Ac6h,Ac,6h,Offsuit,A6o,113
1147,Ac6s,Ac,6s,Offsuit,A6o,113
1148,Ac7c,Ac,7c,Suited,A7s,30
1149,Ac7d,Ac,7d,Offsuit,A7o,102
1150,Ac7h,Ac,7h,Offsuit,A7o,102
1151,Ac7s,Ac,7s,Offsuit,A7o,102
1152,Ac8c,Ac,8c,Suited,A8s,24
1153,Ac8d,Ac,8d,Offsuit,A8o,91
1154,Ac8h,Ac,8h,Offsuit,A8o,91
1155,Ac8s,Ac,8s,Offsuit,A8o,91
1156,Ac9c,Ac,9c,Suited,A9s,19
1157,Ac9d,Ac,9d,Offsuit,A9o,76
1158,Ac9h,Ac,9h,Offsuit,A9o,76
1159,Ac9s,Ac,9s,Offsuit,A9o,76
1160,AcTc,Ac,Tc,Suited,ATs,12
1161,AcTd,Ac,Td,Offsuit,ATo,42
1162,AcTh,Ac,Th,Offsuit,ATo,42
1163,AcTs,Ac,Ts,Offsuit,ATo,42
1164,AcJc,Ac,Jc,Suited,AJs,8
1165,AcJd,Ac,Jd,Offsuit,AJo,27
1166,AcJh,Ac,Jh,Offsuit,AJo,27
1167,AcJs,Ac,Js,Offsuit,AJo,27
1168,AcQc,Ac,Qc,Suited,AQs,6
1169,AcQd,Ac,Qd,Offsuit,AQo,18
1170,AcQh,Ac,Qh,Offsuit,AQo,18
1171,AcQs,Ac,Qs,Offsuit,AQo,18
1172,AcKc,Ac,Kc,Suited,AKs,4
1173,AcKd,Ac,Kd,Offsuit,AKo,11
1174,AcKh,Ac,Kh,Offsuit,AKo,11
1175,AcKs,Ac,Ks,Offsuit,AKo,11
1176,AdAc,Ac,Ad,Pair,AA,1
1177,AhAc,Ac,Ah,Pair,AA,1
1178,AsAc,Ac,As,Pair,AA,1
1179,Ad2c,Ad,2c,Offsuit,A2o,117
1180,Ad2d,Ad,2d,Suited,A2s,39
1181,Ad2h,Ad,2h,Offsuit,A2o,117
1182,Ad2s,Ad,2s,Offsuit,A2o,117
1183,Ad3c,Ad,3c,Offsuit,A3o,109
1184,Ad3d,Ad,3d,Suited,A3s,33
1185,Ad3h,Ad,3h,Offsuit,A3o,109
1186,Ad3s,Ad,3s,Offsuit,A3o,109
1187,Ad4c,Ad,4c,Offsuit,A4o,104
1188,Ad4d,Ad,4d,Suited,A4s,32
1189,Ad4h,Ad,4h,Offsuit,A4o,104
1190,Ad4s,Ad,4s,Offsuit,A4o,104
1191,Ad5c,Ad,5c,Offsuit,A5o,101
1192,Ad5d,Ad,5d,Suited,A5s,28
1193,Ad5h,Ad,5h,Offsuit,A5o,101
1194,Ad5s,Ad,5s,Offsuit,A5o,101
1195,Ad6c,Ad,6c,Offsuit,A6o,113
1196,Ad6d,Ad,6d,Suited,A6s,34
1197,Ad6h,Ad,6h,Offsuit,A6o,113
1198,Ad6s,Ad,6s,Offsuit,A6o,113
1199,Ad7c,Ad,7c,Offsuit,A7o,102
1200,Ad7d,Ad,7d,Suited,A7s,30
1201,Ad7h,Ad,7h,Offsuit,A7o,102
1202,Ad7s,Ad,7s,Offsuit,A7o,102
1203,Ad8c,Ad,8c,Offsuit,A8o,91
1204,Ad8d,Ad,8d,Suited,A8s,24
1205,Ad8h,Ad,8h,Offsuit,A8o,91
1206,Ad8s,Ad,8s,Offsuit,A8o,91
1207,Ad9c,Ad,9c,Offsuit,A9o,76
1208,Ad9d,Ad,9d,Suited,A9s,19
1209,Ad9h,Ad,9h,Offsuit,A9o,76
1210,Ad9s,Ad,9s,Offsuit,A9o,76
1211,AdTc,Ad,Tc,Offsuit,ATo,42
1212,AdTd,Ad,Td,Suited,ATs,12
1213,AdTh,Ad,Th,Offsuit,ATo,42
1214,AdTs,Ad,Ts,Offsuit,ATo,42
1215,AdJc,Ad,Jc,Offsuit,AJo,27
1216,AdJd,Ad,Jd,Suited,AJs,8
1217,AdJh,Ad,Jh,Offsuit,AJo,27
1218,AdJs,Ad,Js,Offsuit,AJo,27
1219,AdQc,Ad,Qc,Offsuit,AQo,18
1220,AdQd,Ad,Qd,Suited,AQs,6
1221,AdQh,Ad,Qh,Offsuit,AQo,18
1222,AdQs,Ad,Qs,Offsuit,AQo,18
1223,AdKc,Ad,Kc,Offsuit,AKo,11
1224,AdKd,Ad,Kd,Suited,AKs,4
1225,AdKh,Ad,Kh,Offsuit,AKo,11
1226,AdKs,Ad,Ks,Offsuit,AKo,11
1227,AhAd,Ad,Ah,Pair,AA,1
1228,AsAd,Ad,As,Pair,AA,1
1229,Ah2c,Ah,2c,Offsuit,A2o,117
1230,Ah2d,Ah,2d,Offsuit,A2o,117
1231,Ah2h,Ah,2h,Suited,A2s,39
1232,Ah2s,Ah,2s,Offsuit,A2o,117
1233,Ah3c,Ah,3c,Offsuit,A3o,109
1234,Ah3d,Ah,3d,Offsuit,A3o,109
1235,Ah3h,Ah,3h,Suited,A3s,33
1236,Ah3s,Ah,3s,Offsuit,A3o,109
1237,Ah4c,Ah,4c,Offsuit,A4o,104
1238,Ah4d,Ah,4d,Offsuit,A4o,104
1239,Ah4h,Ah,4h,Suited,A4s,32
1240,Ah4s,Ah,4s,Offsuit,A4o,104
1241,Ah5c,Ah,5c,Offsuit,A5o,101
1242,Ah5d,Ah,5d,Offsuit,A5o,101
1243,Ah5h,Ah,5h,Suited,A5s,28
1244,Ah5s,Ah,5s,Offsuit,A5o,101
1245,Ah6c,Ah,6c,Offsuit,A6o,113
1246,Ah6d,Ah,6d,Offsuit,A6o,113
1247,Ah6h,Ah,6h,Suited,A6s,34
1248,Ah6s,Ah,6s,Offsuit,A6o,113
1249,Ah7c,Ah,7c,Offsuit,A7o,102
1250,Ah7d,Ah,7d,Offsuit,A7o,102
1251,Ah7h,Ah,7h,Suited,A7s,30
1252,Ah7s,Ah,7s,Offsuit,A7o,102
1253,Ah8c,Ah,8c,Offsuit,A8o,91
1254,Ah8d,Ah,8d,Offsuit,A8o,91
1255,Ah8h,Ah,8h,Suited,A8s,24
1256,Ah8s,Ah,8s,Offsuit,A8o,91
1257,Ah9c,Ah,9c,Offsuit,A9o,76
1258,Ah9d,Ah,9d,Offsuit,A9o,76
1259,Ah9h,Ah,9h,Suited,A9s,19
1260,Ah9s,Ah,9s,Offsuit,A9o,76
1261,AhTc,Ah,Tc,Offsuit,ATo,42
1262,AhTd,Ah,Td,Offsuit,ATo,42
1263,AhTh,Ah,Th,Suited,ATs,12
1264,AhTs,Ah,Ts,Offsuit,ATo,42
1265,AhJc,Ah,Jc,Offsuit,AJo,27
1266,AhJd,Ah,Jd,Offsuit,AJo,27
1267,AhJh,Ah,Jh,Suited,AJs,8
1268,AhJs,Ah,Js,Offsuit,AJo,27
1269,AhQc,Ah,Qc,Offsuit,AQo,18
1270,AhQd,Ah,Qd,Offsuit,AQo,18
1271,AhQh,Ah,Qh,Suited,AQs,6
1272,AhQs,Ah,Qs,Offsuit,AQo,18
1273,AhKc,Ah,Kc,Offsuit,AKo,11
1274,AhKd,Ah,Kd,Offsuit,AKo,11
1275,AhKh,Ah,Kh,Suited,AKs,4
1276,AhKs,Ah,Ks,Offsuit,AKo,11
1277,AsAh,Ah,As,Pair,AA,1
1278,As2c,As,2c,Offsuit,A2o,117
1279,As2d,As,2d,Offsuit,A2o,117
1280,As2h,As,2h,Offsuit,A2o,117
1281,As2s,As,2s,Suited,A2s,39
1282,As3c,As,3c,Offsuit,A3o,109
1283,As3d,As,3d,Offsuit,A3o,109
1284,As3h,As,3h,Offsuit,A3o,109
1285,As3s,As,3s,Suited,A3s,33
1286,As4c,As,4c,Offsuit,A4o,104
1287,As4d,As,4d,Offsuit,A4o,104
1288,As4h,As,4h,Offsuit,A4o,104
1289,As4s,As,4s,Suited,A4s,32
1290,As5c,As,5c,Offsuit,A5o,101
1291,As5d,As,5d,Offsuit,A5o,101
1292,As5h,As,5h,Offsuit,A5o,101
1293,As5s,As,5s,Suited,A5s,28
1294,As6c,As,6c,Offsuit,A6o,113
1295,As6d,As,6d,Offsuit,A6o,113
1296,As6h,As,6h,Offsuit,A6o,113
1297,As6s,As,6s,Suited,A6s,34
1298,As7c,As,7c,Offsuit,A7o,102
1299,As7d,As,7d,Offsuit,A7o,102
1300,As7h,As,7h,Offsuit,A7o,102
1301,As7s,As,7s,Suited,A7s,30
1302,As8c,As,8c,Offsuit,A8o,91
1303,As8d,As,8d,Offsuit,A8o,91
1304,As8h,As,8h,Offsuit,A8o,91
1305,As8s,As,8s,Suited,A8s,24
1306,As9c,As,9c,Offsuit,A9o,76
1307,As9d,As,9d,Offsuit,A9o,76
1308,As9h,As,9h,Offsuit,A9o,76
1309,As9s,As,9s,Suited,A9s,19
1310,AsTc,As,Tc,Offsuit,ATo,42
1311,AsTd,As,Td,Offsuit,ATo,42
1312,AsTh,As,Th,Offsuit,ATo,42
1313,AsTs,As,Ts,Suited,ATs,12
1314,AsJc,As,Jc,Offsuit,AJo,27
1315,AsJd,As,Jd,Offsuit,AJo,27
1316,AsJh,As,Jh,Offsuit,AJo,27
1317,AsJs,As,Js,Suited,AJs,8
1318,AsQc,As,Qc,Offsuit,AQo,18
1319,AsQd,As,Qd,Offsuit,AQo,18
1320,AsQh,As,Qh,Offsuit,AQo,18
1321,AsQs,As,Qs,Suited,AQs,6
1322,AsKc,As,Kc,Offsuit,AKo,11
1323,AsKd,As,Kd,Offsuit,AKo,11
1324,AsKh,As,Kh,Offsuit,AKo,11
1325,AsKs,As,Ks,Suited,AKs,4
