Array IDX,Name,Card 1,Card 2,Shape,Hand,Rank
619,Ts7d,Ts,7d,Offsuit,T7o,124
620,Ts7h,Ts,7h,Offsuit,T7o,124
621,Ts7s,Ts,7s,Suited,T7s,57
622,Ts8c,Ts,8c,Offsuit,T8o,100
623,Ts8d,Ts,8d,Offsuit,T8o,100
624,Ts8h,Ts,8h,Offsuit,T8o,100
625,Ts8s,Ts,8s,Suited,T8s,38
626,Ts9c,Ts,9c,Offsuit,T9o,73
627,Ts9d,Ts,9d,Offsuit,T9o,73
628,Ts9h,Ts,9h,Offsuit,T9o,73
629,Ts9s,Ts,9s,Suited,T9s,23
630,Jc2c,Jc,2c,Suited,J2s,89
631,Jc2d,Jc,2d,Offsuit,J2o,155
632,Jc2h,Jc,2h,Offsuit,J2o,155
633,Jc2s,Jc,2s,Offsuit,J2o,155
634,Jc3c,Jc,3c,Suited,J3s,87
635,Jc3d,Jc,3d,Offsuit,J3o,153
636,Jc3h,Jc,3h,Offsuit,J3o,153
637,Jc3s,Jc,3s,Offsuit,J3o,153
638,Jc4c,Jc,4c,Suited,J4s,86
639,Jc4d,Jc,4d,Offsuit,J4o,152
640,Jc4h,Jc,4h,Offsuit,J4o,152
641,Jc4s,Jc,4s,Offsuit,J4o,152
642,Jc5c,Jc,5c,Suited,J5s,82
643,Jc5d,Jc,5d,Offsuit,J5o,149
644,Jc5h,Jc,5h,Offsuit,J5o,149
645,Jc5s,Jc,5s,Offsuit,J5o,149
646,Jc6c,Jc,6c,Suited,J6s,79
647,Jc6d,Jc,6d,Offsuit,J6o,147
648,Jc6h,Jc,6h,Offsuit,J6o,147
649,Jc6s,Jc,6s,Offsuit,J6o,147
650,Jc7c,Jc,7c,Suited,J7s,64
651,Jc7d,Jc,7d,Offsuit,J7o,129
652,Jc7h,Jc,7h,Offsuit,J7o,129
653,Jc7s,Jc,7s,Offsuit,J7o,129
654,Jc8c,Jc,8c,Suited,J8s,41
655,Jc8d,Jc,8d,Offsuit,J8o,108
656,Jc8h,Jc,8h,Offsuit,J8o,108
657,Jc8s,Jc,8s,Offsuit,J8o,108
658,Jc9c,Jc,9c,Suited,J9s,26
659,Jc9d,Jc,9d,Offsuit,J9o,80
660,Jc9h,Jc,9h,Offsuit,J9o,80
661,Jc9s,Jc,9s,Offsuit,J9o,80
662,JcTc,Jc,Tc,Suited,JTs,16
663,JcTd,Jc,Td,Offsuit,JTo,47
664,JcTh,Jc,Th,Offsuit,JTo,47
665,JcTs,Jc,Ts,Offsuit,JTo,47
666,JdJc,Jc,Jd,Pair,JJ,5
667,JhJc,Jc,Jh,Pair,JJ,5
668,JsJc,Jc,Js,Pair,JJ,5
669,Jd2c,Jd,2c,Offsuit,J2o,155
670,Jd2d,Jd,2d,Suited,J2s,89
671,Jd2h,Jd,2h,Offsuit,J2o,155
672,Jd2s,Jd,2s,Offsuit,J2o,155
673,Jd3c,Jd,3c,Offsuit,J3o,153
674,Jd3d,Jd,3d,Suited,J3s,87
675,Jd3h,Jd,3h,Offsuit,J3o,153
676,Jd3s,Jd,3s,Offsuit,J3o,153
677,Jd4c,Jd,4c,Offsuit,J4o,152
678,Jd4d,Jd,4d,Suited,J4s,86
679,Jd4h,Jd,4h,Offsuit,J4o,152
680,Jd4s,Jd,4s,Offsuit,J4o,152
681,Jd5c,Jd,5c,Offsuit,J5o,149
682,Jd5d,Jd,5d,Suited,J5s,82
683,Jd5h,Jd,5h,Offsuit,J5o,149
684,Jd5s,Jd,5s,Offsuit,J5o,149
685,Jd6c,Jd,6c,Offsuit,J6o,147
686,Jd6d,Jd,6d,Suited,J6s,79
687,Jd6h,Jd,6h,Offsuit,J6o,147
688,Jd6s,Jd,6s,Offsuit,J6o,147
689,Jd7c,Jd,7c,Offsuit,J7o,129
690,Jd7d,Jd,7d,Suited,J7s,64
691,Jd7h,Jd,7h,Offsuit,J7o,129
692,Jd7s,Jd,7s,Offsuit,J7o,129
693,Jd8c,Jd,8c,Offsuit,J8o,108
694,Jd8d,Jd,8d,Suited,J8s,41
695,Jd8h,Jd,8h,Offsuit,J8o,108
696,Jd8s,Jd,8s,Offsuit,J8o,108
697,Jd9c,Jd,9c,Offsuit,J9o,80
698,Jd9d,Jd,9d,Suited,J9s,26
699,Jd9h,Jd,9h,Offsuit,J9o,80
700,Jd9s,Jd,9s,Offsuit,J9o,80
701,JdTc,Jd,Tc,Offsuit,JTo,47
702,JdTd,Jd,Td,Suited,JTs,16
703,JdTh,Jd,Th,Offsuit,JTo,47
704,JdTs,Jd,Ts,Offsuit,JTo,47
705,JhJd,Jd,Jh,Pair,JJ,5
706,JsJd,Jd,Js,Pair,JJ,5
707,Jh2c,Jh,2c,Offsuit,J2o,155
708,Jh2d,Jh,2d,Offsuit,J2o,155
709,Jh2h,Jh,2h,Suited,J2s,89
710,Jh2s,Jh,2s,Offsuit,J2o,155
711,Jh3c,Jh,3c,Offsuit,J3o,153
712,Jh3d,Jh,3d,Offsuit,J3o,153
713,Jh3h,Jh,3h,Suited,J3s,87
714,Jh3s,Jh,3s,Offsuit,J3o,153
715,Jh4c,Jh,4c,Offsuit,J4o,152
716,Jh4d,Jh,4d,Offsuit,J4o,152
717,Jh4h,Jh,4h,Suited,J4s,86
718,Jh4s,Jh,4s,Offsuit,J4o,152
719,Jh5c,Jh,5c,Offsuit,J5o,149
720,Jh5d,Jh,5d,Offsuit,J5o,149
721,Jh5h,Jh,5h,Suited,J5s,82
722,Jh5s,Jh,5s,Offsuit,J5o,149
723,Jh6c,Jh,6c,Offsuit,J6o,147
724,Jh6d,Jh,6d,Offsuit,J6o,147
725,Jh6h,Jh,6h,Suited,J6s,79
726,Jh6s,Jh,6s,Offsuit,J6o,147
727,Jh7c,Jh,7c,Offsuit,J7o,129
728,Jh7d,Jh,7d,Offsuit,J7o,129
729,Jh7h,Jh,7h,Suited,J7s,64
730,Jh7s,Jh,7s,Offsuit,J7o,129
731,Jh8c,Jh,8c,Offsuit,J8o,108
732,Jh8d,Jh,8d,Offsuit,J8o,108
733,Jh8h,Jh,8h,Suited,J8s,41
734,Jh8s,Jh,8s,Offsuit,J8o,108
735,Jh9c,Jh,9c,Offsuit,J9o,80
736,Jh9d,Jh,9d,Offsuit,J9o,80
737,Jh9h,Jh,9h,Suited,J9s,26
738,Jh9s,Jh,9s,Offsuit,J9o,80
739,JhTc,Jh,Tc,Offsuit,JTo,47
740,JhTd,Jh,Td,Offsuit,JTo,47
741,JhTh,Jh,Th,Suited,JTs,16
742,JhTs,Jh,Ts,Offsuit,JTo,47
743,JsJh,Jh,Js,Pair,JJ,5
744,Js2c,Js,2c,Offsuit,J2o,155
745,Js2d,Js,2d,Offsuit,J2o,155
746,Js2h,Js,2h,Offsuit,J2o,155
747,Js2s,Js,2s,Suited,J2s,89
748,Js3c,Js,3c,Offsuit,J3o,153
749,Js3d,Js,3d,Offsuit,J3o,153
750,Js3h,Js,3h,Offsuit,J3o,153
751,Js3s,Js,3s,Suited,J3s,87
752,Js4c,Js,4c,Offsuit,J4o,152
753,Js4d,Js,4d,Offsuit,J4o,152
754,Js4h,Js,4h,Offsuit,J4o,152
755,Js4s,Js,4s,Suited,J4s,86
756,Js5c,Js,5c,Offsuit,J5o,149
757,Js5d,Js,5d,Offsuit,J5o,149
758,Js5h,Js,5h,Offsuit,J5o,149
759,Js5s,Js,5s,Suited,J5s,82
760,Js6c,Js,6c,Offsuit,J6o,147
761,Js6d,Js,6d,Offsuit,J6o,147
762,Js6h,Js,6h,Offsuit,J6o,147
763,Js6s,Js,6s,Suited,J6s,79
764,Js7c,Js,7c,Offsuit,J7o,129
765,Js7d,Js,7d,Offsuit,J7o,129
766,Js7h,Js,7h,Offsuit,J7o,129
767,Js7s,Js,7s,Suited,J7s,64
768,Js8c,Js,8c,Offsuit,J8o,108
769,Js8d,Js,8d,Offsuit,J8o,108
770,Js8h,Js,8h,Offsuit,J8o,108
771,Js8s,Js,8s,Suited,J8s,41
772,Js9c,Js,9c,Offsuit,J9o,80
773,Js9d,Js,9d,Offsuit,J9o,80
774,Js9h,Js,9h,Offsuit,J9o,80
775,Js9s,Js,9s,Suited,J9s,26
776,JsTc,Js,Tc,Offsuit,JTo,47
777,JsTd,Js,Td,Offsuit,JTo,47
778,JsTh,Js,Th,Offsuit,JTo,47
779,JsTs,Js,Ts,Suited,JTs,16
780,Qc2c,Qc,2c,Suited,Q2s,75
781,Qc2d,Qc,2d,Offsuit,Q2o,146
782,Qc2h,Qc,2h,Offsuit,Q2o,146
783,Qc2s,Qc,2s,Offsuit,Q2o,146
784,Qc3c,Qc,3c,Suited,Q3s,72
785,Qc3d,Qc,3d,Offsuit,Q3o,144
786,Qc3h,Qc,3h,Offsuit,Q3o,144
